Plasmid,Concentration,Replicate,mCherry,GFP
pLac,0.001,2,1.6425451902771322,1.8687825111363616
pLac,0.001,2,2.13896100256618,2.7062570517473628
pLac,0.001,2,2.3570267067240933,2.37730974228694
pLac,0.001,2,1.949760471848504,1.8068753159800528
pLac,0.001,2,1.8241691610590989,2.3516015935134313
pLac,0.001,2,1.0223208457672135,1.791319723138608
pLac,0.001,2,1.6539103761452865,2.479698277851461
pLac,0.001,2,1.8279736304547,2.6448841078681053
pLac,0.001,2,1.7583867486912086,2.3802416758607894
pLac,0.001,2,2.3382633562151653,2.4555429090474954
pLac,0.001,2,1.8241691610590989,2.635764916167089
pLac,0.001,2,2.4059006709271884,2.5682320021361846
pLac,0.001,2,2.443350230164108,2.098696245047607
pLac,0.001,2,2.5058290580492555,1.8597852416285032
pLac,0.001,2,1.60030200651124,2.156920023288534
pLac,0.001,2,1.4852819830185835,2.335777748081416
pLac,0.001,2,1.6425451902771322,2.5900182592288044
pLac,0.001,2,2.148253124102858,2.6727497574987042
pLac,0.001,2,1.8086160577660557,2.4737776015999446
pLac,0.001,2,1.6127878452222115,2.249213057948912
pLac,0.001,2,1.7924972645899555,2.2021631501874506
pLac,0.001,2,1.9776450094046207,2.3092666328662443
pLac,0.001,2,1.7017287021405445,2.727308727305203
pLac,0.001,2,1.7714877408155836,2.2865381827360567
pLac,0.001,2,1.9439666904813289,2.0932660509840075
